Date,Disease,Disease_Count,Medicine_1,Medicine_1_Sales,Medicine_2,Medicine_2_Sales,Trend_Type,Insight
2024-01-01,Influenza,15,Oseltamivir,80,Paracetamol,79,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-02,Influenza,8,Oseltamivir,77,Paracetamol,75,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-03,Influenza,20,Oseltamivir,75,Paracetamol,72,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-04,Influenza,20,Oseltamivir,73,Paracetamol,73,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-05,Influenza,20,Oseltamivir,71,Paracetamol,69,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-06,Influenza,24,Oseltamivir,69,Paracetamol,69,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-07,Influenza,33,Oseltamivir,67,Paracetamol,69,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-08,Influenza,29,Oseltamivir,65,Paracetamol,63,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-09,Influenza,27,Oseltamivir,63,Paracetamol,62,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-10,Influenza,35,Oseltamivir,61,Paracetamol,56,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-11,Influenza,38,Oseltamivir,59,Paracetamol,62,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-12,Influenza,37,Oseltamivir,57,Paracetamol,57,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-13,Influenza,43,Oseltamivir,55,Paracetamol,54,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-14,Influenza,45,Oseltamivir,53,Paracetamol,51,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-15,Influenza,57,Oseltamivir,51,Paracetamol,53,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-16,Influenza,48,Oseltamivir,48,Paracetamol,47,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-17,Influenza,56,Oseltamivir,46,Paracetamol,47,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-18,Influenza,58,Oseltamivir,44,Paracetamol,42,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-19,Influenza,58,Oseltamivir,42,Paracetamol,40,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-20,Influenza,64,Oseltamivir,40,Paracetamol,38,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-21,Influenza,66,Oseltamivir,38,Paracetamol,42,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-22,Influenza,63,Oseltamivir,36,Paracetamol,33,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-23,Influenza,69,Oseltamivir,34,Paracetamol,32,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-24,Influenza,75,Oseltamivir,32,Paracetamol,31,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-25,Influenza,78,Oseltamivir,30,Paracetamol,30,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-26,Influenza,78,Oseltamivir,28,Paracetamol,29,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-27,Influenza,84,Oseltamivir,26,Paracetamol,27,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-28,Influenza,87,Oseltamivir,24,Paracetamol,22,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
2024-01-29,Influenza,83,Oseltamivir,22,Paracetamol,23,up_down,Spike in Influenza cases but declining medication usage suggests possible new treatment patterns or virus variants.
